decision,evaluated,operator,q,null,accepted,candidate_score,current_score,best_score,w_random,w_worst,w_shaw
201,179,1,11,0,1,383.44119235789316,383.44119235789316,374.64879271711806,1.2218907185614387,1.0212617564835167,1.035566530678211
202,180,0,10,0,0,390.34119235789314,383.44119235789316,374.64879271711806,1.2218907185614387,1.0212617564835167,1.035566530678211
203,181,0,9,0,0,450.57199048779336,383.44119235789316,374.64879271711806,1.2218907185614387,1.0212617564835167,1.035566530678211
204,182,2,10,0,1,381.84119235789314,381.84119235789314,374.64879271711806,1.2218907185614387,1.0212617564835167,1.035566530678211
205,183,2,10,0,1,380.24119235789317,380.24119235789317,374.64879271711806,1.2218907185614387,1.0212617564835167,1.035566530678211
206,184,0,11,0,1,380.24119235789317,380.24119235789317,374.64879271711806,1.2218907185614387,1.0212617564835167,1.035566530678211
207,185,0,11,0,1,380.76114304548906,380.76114304548906,374.64879271711806,1.2218907185614387,1.0212617564835167,1.035566530678211
208,186,0,9,0,1,380.4611430454891,380.4611430454891,374.64879271711806,1.2218907185614387,1.0212617564835167,1.035566530678211
209,187,2,11,0,1,380.82996053496373,380.82996053496373,374.64879271711806,1.2218907185614387,1.0212617564835167,1.035566530678211
210,188,2,10,0,1,380.82996053496373,380.82996053496373,374.64879271711806,1.2218907185614387,1.0212617564835167,1.035566530678211
211,189,1,9,0,0,384.73618390698454,380.82996053496373,374.64879271711806,1.2218907185614387,1.0212617564835167,1.035566530678211
212,190,1,10,0,0,388.4840526036022,380.82996053496373,374.64879271711806,1.2218907185614387,1.0212617564835167,1.035566530678211
213,191,1,12,0,0,383.0887384564883,380.82996053496373,374.64879271711806,1.2218907185614387,1.0212617564835167,1.035566530678211
214,192,2,9,0,1,380.82996053496373,380.82996053496373,374.64879271711806,1.2218907185614387,1.0212617564835167,1.035566530678211
215,193,2,11,0,0,387.5109844876697,380.82996053496373,374.64879271711806,1.2218907185614387,1.0212617564835167,1.035566530678211
216,194,2,11,0,1,383.0887384564883,383.0887384564883,374.64879271711806,1.2218907185614387,1.0212617564835167,1.035566530678211
217,195,0,10,0,1,383.0887384564883,383.0887384564883,374.64879271711806,1.2218907185614387,1.0212617564835167,1.035566530678211
218,196,1,11,0,0,391.64506162751246,383.0887384564883,374.64879271711806,1.2218907185614387,1.0212617564835167,1.035566530678211
219,197,0,10,0,1,382.1999702794178,382.1999702794178,374.64879271711806,1.2218907185614387,1.0212617564835167,1.035566530678211
220,198,2,12,0,0,384.8324454148638,382.1999702794178,374.64879271711806,1.2218907185614387,1.0212617564835167,1.035566530678211
221,199,1,10,0,1,381.4999702794178,381.4999702794178,374.64879271711806,1.2218907185614387,1.0212617564835167,1.035566530678211
222,200,0,10,0,0,412.4124429896185,381.4999702794178,374.64879271711806,1.2218907185614387,1.0212617564835167,1.035566530678211
